Region,Asset Type,Site Name,Fuel Type,latitude,longitude
TAS1,Existing Plant,Devils Gate,Hydro - Water,-41.35002115,146.2648198
NSW1,Existing Plant,DHL6 Solar Horsley Park,Solar - Solar,-33.84,150.85
VIC1,Existing Plant,Diapur Wind Farm,Wind - Wind,-36.34,141.45
NSW1,Existing Plant,Drayton's Family Wines Solar,Solar - Solar,-32.80901079,151.2821159
SA1,Existing Plant,Dry Creek GT,Fossil,-34.84745744,138.581723
VIC1,Existing Plant,Drysdale,Renewable Biomass or Waste,-38.17107714,144.627401
QLD1,Existing Plant,Dulacca Wind Farm,Wind - Wind,-26.62976365,149.86894
QLD1,Existing Plant,Dunblane Solar Farm,Solar - Solar,-23.54467204,145.2656881
VIC1,Existing Plant,Dundonnell Wind Farm,Wind - Wind,-37.86517036,142.9683485
NSW1,Existing Plant,Earthpower Technologies Sydney,Other - Other,-33.82,151.04
NSW1,Existing Plant,Eastern Creek,Renewable Biomass or Waste,-33.79635256,150.8245405
NSW1,Existing Plant,Eastern Creek 2 Gas Utilisation Facility,Renewable Biomass or Waste,-33.79835716,150.8236724
QLD1,Existing Plant,Edenvale Solar Park,Solar - Solar,-26.93045229,150.5821221
VIC1,Existing Plant,Eildon,Hydro - Water,-37.22167509,145.9209582
VIC1,Existing Plant,Eildon Pondage Power Station (EPPS),Hydro - Water,-37.24302034,145.8974692
VIC1,Existing Plant,Elaine Wind Farm,Wind - Wind,-37.73295302,144.0115798
QLD1,Existing Plant,Emerald Solar Park,Solar - Solar,-23.50814685,148.1277771
VIC1,Existing Plant,Epworth Hospital - East Melbourne - Freemasons,Fossil,-37.81,144.98
VIC1,Existing Plant,Epworth Hospital - Geelong - Waurn Ponds,Fossil,-38.19,144.3
NSW1,Existing Plant,Eraring,Fossil,-33.05998167,151.5196621
NSW1,Existing Plant,Eraring GT,Fossil,-33.06249191,151.5181719
VIC1,Existing Plant,Ferguson Wind Farm,Wind - Wind,-38.611208,143.1795759
NSW1,Existing Plant,Finley Solar Farm,Solar - Solar,-35.64432165,145.5080041
TAS1,Existing Plant,Fisher,Hydro - Water,-41.67324433,146.2686905
VIC1,Existing Plant,Flavorite Marketing,Solar - Solar,-37.78083274,144.7508463
NSW1,Existing Plant,Flyers Creek Wind Farm,Wind - Wind,-33.51768702,149.0517935
QLD1,Existing Plant,FPC Green Energy,Renewable Biomass or Waste,-27.74,153.33
QLD1,Existing Plant,Fraser Coast Community Solar Farm,Solar - Solar,-25.41,152.75
QLD1,Existing Plant,Gangarri Solar Farm,Solar - Solar,-26.25745264,149.7621023
VIC1,Existing Plant,Gannawarra Energy Storage System,Other - Other,-35.73425191,143.7801472
VIC1,Existing Plant,Gannawarra Solar Farm,Solar - Solar,-35.72863766,143.7832116
QLD1,Existing Plant,German Creek,Fossil,-22.91067695,148.5638788
QLD1,Existing Plant,Gladstone,Fossil,-23.84857519,151.2185978
NSW1,Existing Plant,Glenbawn,Hydro - Water,-32.11,150.99
VIC1,Existing Plant,Glenmaggie Hydro,Hydro - Water,-37.90441865,146.8001982
NSW1,Existing Plant,Glennies Creek,Fossil,-32.46,151.11
TAS1,Existing Plant,Glenorchy,Renewable Biomass or Waste,-42.83,147.27
TAS1,Existing Plant,Glenorchy Renewable Energy Facility,Renewable Biomass or Waste,-42.84183104,147.2548393
VIC1,Existing Plant,Glenrowan Solar Farm,Solar - Solar,-36.47235852,146.2016377
VIC1,Existing Plant,Glenrowan West Solar Farm,Solar - Solar,-36.48852221,146.1536122
NSW1,Existing Plant,Goonumbla Solar Farm,Solar - Solar,-33.10569763,148.1039521
TAS1,Existing Plant,Gordon,Hydro - Water,-42.74045168,145.9828546
NSW1,Existing Plant,Goulburn Bioenergy,Renewable Biomass or Waste,-34.78661422,149.6830343
NSW1,Existing Plant,Grange Avenue,Renewable Biomass or Waste,-33.70291387,150.8313203
TAS1,Existing Plant,Granville Harbour Wind Farm,Wind - Wind,-41.78661058,145.047441
NSW1,Existing Plant,Griffith Solar Farm,Solar - Solar,-34.31753287,146.1193378
QLD1,Existing Plant,Grosvenor 1,Fossil,-25.43,151.18
NSW1,Existing Plant,Gullen Range Solar Farm,Solar - Solar,-34.6097438,149.4757223
NSW1,Existing Plant,Gullen Range Wind Farm,Wind - Wind,-34.61465682,149.4630453
NSW1,Existing Plant,Gullen Range Wind Farm 2,Wind - Wind,-34.61514649,149.4598378
NSW1,Existing Plant,Gunnedah Solar Farm,Solar - Solar,-30.9416777,150.3492876
NSW1,Existing Plant,Gunning Wind Farm,Wind - Wind,-34.69704654,149.3845838
NSW1,Existing Plant,Guthega,Hydro - Water,-36.34999609,148.4136147
VIC1,Existing Plant,Hallam Road,Renewable Biomass or Waste,-38.05356425,145.2675618
SA1,Existing Plant,Hallett 4 North Brown Hill,Wind - Wind,-33.30186004,138.7068903
SA1,Existing Plant,Hallett 5 The Bluff WF,Wind - Wind,-33.36456337,138.8054598
SA1,Existing Plant,Hallett GT,Fossil,-33.35202326,138.7534505
SA1,Existing Plant,Hallett Stage 1 Brown Hill,Wind - Wind,-33.40804338,138.7262177
SA1,Existing Plant,Hallett Stage 2 Hallett Hill,Wind - Wind,-33.55232031,138.8620082
QLD1,Existing Plant,Hamilton Solar Farm,Solar - Solar,-20.51053519,147.756966
SA1,Existing Plant,Happy Valley Reservoir,Solar - Solar,-35.06487017,138.5653639
QLD1,Existing Plant,Haughton Solar Farm Stage 1,Solar - Solar,-19.75000084,147.0483978
QLD1,Existing Plant,Hayman Solar Farm,Solar - Solar,-20.48406789,147.7472193
VIC1,Existing Plant,Hazelwood Battery Energy Storage System (HBESS),Other - Other,-38.26743009,146.3905322
NSW1,Existing Plant,Hillston Sun Farm,Solar - Solar,-33.51940947,145.5230579
TAS1,Existing Plant,Hobart,Other - Other,-42.88,147.33
SA1,Existing Plant,Hornsdale Power Reserve Unit 1,Other - Other,-33.0864411,138.5198144
SA1,Existing Plant,Hornsdale Wind Farm Stage 1,Wind - Wind,-33.05308502,138.548554
SA1,Existing Plant,Hornsdale Wind Farm Stage 2,Wind - Wind,-33.06215176,138.5453836
SA1,Existing Plant,Hornsdale Wind Farm Stage 3,Wind - Wind,-33.07424108,138.5450081
QLD1,Existing Plant,Hughenden Sun Farm,Solar - Solar,-20.85487452,144.1865239
NSW1,Existing Plant,Hume Dam NSW,Hydro - Water,-36.10548318,147.0329251
VIC1,Existing Plant,Hume Dam VIC,Hydro - Water,-36.10800347,147.0295064
NSW1,Existing Plant,Hunter EconomicZone,Fossil,-33.86,151.21
VIC1,Existing Plant,HYMIVC06 Belgrave-Hallam Rd Micro Hydro,Hydro - Water,-37.97,145.32
QLD1,Existing Plant,Inkerman Mill,Renewable Biomass or Waste,-19.64,147.4
QLD1,Existing Plant,Invicta Mill,Renewable Biomass or Waste,-19.52,147.1
QLD1,Existing Plant,ISIS Central Sugar Mill Co-generation Plant,Other - Other,-25.2,152.21
NSW1,Existing Plant,Jacks Gully,Renewable Biomass or Waste,-34.08,150.74
VIC1,Existing Plant,Jeeralang A,Fossil,-38.28,146.43
NSW1,Existing Plant,Jemalong Solar,Solar - Solar,-33.38843867,147.6684282
VIC1,Existing Plant,Jessica Way Truganina Solar,Solar - Solar,-37.82,144.74
NSW1,Existing Plant,Jindabyne,Hydro - Water,-36.42,148.62
VIC1,Existing Plant,JL King & Co 150kW- Solar-,Solar - Solar,-36.78,144.26
TAS1,Existing Plant,John Butters,Hydro - Water,-42.15487234,145.5345771
NSW1,Existing Plant,Jounama,Hydro - Water,-35.56219143,148.3053605
NSW1,Existing Plant,Junee Solar Farm,Solar - Solar,-34.81457055,147.5718603
QLD1,Existing Plant,Kaban Wind Farm,Wind - Wind,-17.56043426,145.4132563
QLD1,Existing Plant,Kalamia Mill,Renewable Biomass or Waste,-19.52,147.42
VIC1,Existing Plant,Karadoc Solar Farm,Solar - Solar,-34.41186231,142.2522743
QLD1,Existing Plant,Kareeya,Hydro - Water,-17.76703726,145.5779202
QLD1,Existing Plant,Kareeya 5,Hydro - Water,-17.76602939,145.5876426
NSW1,Existing Plant,Keepit,Hydro - Water,-30.8812849,150.4910693
QLD1,Existing Plant,Kennedy Energy Park - Phase 1 - Solar,Solar - Solar,-20.87485495,144.4208444
QLD1,Existing Plant,Kennedy Energy Park - Phase 1 - Storage,Other - Other,-20.87388578,144.4128095
QLD1,Existing Plant,Kennedy Energy Park - Phase 1 - Wind,Wind - Wind,-20.92900912,144.3802926
VIC1,Existing Plant,Kiamal Solar Farm - Stage 1,Solar - Solar,-35,142.31
VIC1,Existing Plant,Kiata Wind Farm,Wind - Wind,-36.39770452,141.7468573
QLD1,Existing Plant,Kidston Solar Project Phase One 50MW,Solar - Solar,-18.8921519,144.1384783
SA1,Existing Plant,Kingscote Power Station,Fossil,-34.76,138.51
QLD1,Existing Plant,Kogan Creek,Fossil,-26.91,150.75
SA1,Existing Plant,Ladbroke Grove,Fossil,-37.46,140.78
SA1,Existing Plant,Lake Bonney 1 Wind Farm,Wind - Wind,-37.78704094,140.4068008
SA1,Existing Plant,Lake Bonney 2 Wind Farm,Wind - Wind,-37.7301708,140.3807653
SA1,Existing Plant,Lake Bonney 3 Wind Farm,Wind - Wind,-37.74140007,140.3948821
SA1,Existing Plant,Lake Bonney Battery Energy Storage,Other - Other,-37.73899339,140.3868855
TAS1,Existing Plant,Lake Echo,Hydro - Water,-42.16,146.65
TAS1,Existing Plant,Lake Margaret,Hydro - Water,-42,145.54
QLD1,Existing Plant,Lake Somerset,Hydro - Water,-27.03,152.57
QLD1,Existing Plant,Lakeland Solar and Storage,Solar - Solar,-15.86877105,144.8619594
VIC1,Existing Plant,Laverton North,Fossil,-37.83337858,144.7684927
TAS1,Existing Plant,Lemonthyme / Wilmot,Hydro - Water,-41.52,146.1
VIC1,Existing Plant,Leonards Hill,Wind - Wind,-37.42,144.12
QLD1,Existing Plant,Lilyvale Solar Farm,Solar - Solar,-23.08451484,148.4282162
NSW1,Existing Plant,Limondale Solar Farm 1,Solar - Solar,-34.77195341,143.5020493
NSW1,Existing Plant,Limondale Solar Farm 2,Solar - Solar,-34.76585818,143.4929813
SA1,Existing Plant,Lincoln Gap Wind Farm - stage 1,Wind - Wind,-32.58805069,137.5559767
SA1,Existing Plant,Lincoln Gap Wind Farm - Stage 2,Wind - Wind,-32.57086601,137.5410057
QLD1,Existing Plant,Llewellyn Motors,Solar - Solar,-27.61,152.8
NSW1,Existing Plant,LMCC - Works Depot Power Station,Solar - Solar,-34.77,143.53
VIC1,Existing Plant,Longford,Fossil,-38.17,147.09
QLD1,Existing Plant,Longreach Solar Farm,Solar - Solar,-23.44599611,144.3591011
SA1,Existing Plant,Lonsdale,Fossil,-35.07,138.51
VIC1,Existing Plant,Loy Yang A Power Station,Fossil,-38.25,146.58
VIC1,Existing Plant,Loy Yang B,Fossil,-38.26,146.58
NSW1,Existing Plant,Lucas Heights 2,Renewable Biomass or Waste,-34.05,150.99
VIC1,Existing Plant,Macarthur Wind Farm,Wind - Wind,-38.05,142.19
TAS1,Existing Plant,Mackintosh,Hydro - Water,-41.7,145.67
QLD1,Existing Plant,Macknade Mill,Renewable Biomass or Waste,-18.59,146.26
NSW1,Existing Plant,Manildra Solar Farm,Solar - Solar,-33.22,148.62
SA1,Existing Plant,Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),Solar - Solar,-34.91639405,139.2658612
SA1,Existing Plant,Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),Solar - Solar,-34.88312843,139.0526123
SA1,Existing Plant,Mannum Solar Farm,Solar - Solar,-34.91490147,139.2694501
SA1,Existing Plant,Mannum Solar Farm 2,Solar - Solar,-34.91934698,139.2655463
